Marca	Modelo	Largura(mm)	Altura(mm)	Peso(g)	Bluetooth	Wi-fi	Dual_Chip	TelaTouchscreen	Preco(R$)	GPS	Camera(MP)	IMAGEM
STRING	STRING	INTEGER	INTEGER	INTEGER	STRING	STRING	STRING	STRING	DOUBLE	STRING	DOUBLE	STRING
Motorola	EX118	600	103	87	yes	yes	no	yes	299	no	3	media/pictures/_celulares/motorola_EX118.jpg
Motorola	EX128	500	100	80	yes	yes	yes	yes	399	no	3	media/pictures/_celulares/motorola_EX128.jpg
Motorola	EX119	600	103	87	yes	yes	yes	yes	499	no	3	media/pictures/_celulares/Motorola_EX119.jpg
Motorola	EX108	102	595	87	yes	no	no	no	228	no	2	media/pictures/_celulares/motorola_EX108.jpg
Sony Ericsson 	XPERIA X8	54	99	104	yes	yes	no	yes	399	yes	3.2	media/pictures/_celulares/Sony_Ericsson_Xperia_X8.jpg
Samsung 	GT-I9000B	122	64	119	yes	yes	no	yes	1299	yes	5	media/pictures/_celulares/Samsung_GT-I9000B.jpg
Nokia	C3-00	58	115	481	yes	yes	no	no	279	no	2	media/pictures/_celulares/Nokia_C3_00.jpg
Apple	iPhone3GS	620	1155	135	yes	yes	no	yes	1399	yes	2	media/pictures/_celulares/Apple_iPhone3GS.jpg
Samsung	Galaxy 551	120	15	150	yes	yes	no	yes	699	yes	3.2	media/pictures/_celulares/Samsung_Galaxy_551.jpg
Motorola	 XT300	61	97	112	yes	yes	no	yes	499	yes	3.2	media/pictures/_celulares/Motorola_XT300.jpg
BlackBerry 	8520	600	103	87	yes	yes	no	no	599	no	2	media/pictures/_celulares/BlackBerry_8520.jpg
Nokia	5233	450	100	80	yes	no	no	yes	299	no	2	media/pictures/_celulares/Nokia_5233.jpg
Nokia	C5-03	51	105	93	yes	yes	no	yes	449	yes	5	media/pictures/_celulares/Nokia_C5-03.jpg
Alcatel 	TCDAL0054 	50	100	107	yes	yes	no	yes	449	no	2	media/pictures/_celulares/Alcatel_TCDAL0054.jpg
Sony Ericsson 	 Xperia mini - ST15a	520	880	990	yes	yes	no	yes	699	yes	5	media/pictures/_celulares/Sony_Ericsson_Xperia_mini_ST15a.jpg
Nokia	N701	50	110	131	yes	yes	no	yes	999	yes	8	media/pictures/_celulares/Nokia_N701.jpg
LG	P920	159	984	169	yes	yes	no	yes	1899	yes	5	media/pictures/_celulares/LG_P920.jpg
Sony Ericsson 	Xperia arc	125	630	117	yes	yes	no	yes	1699	yes	8.1	media/pictures/_celulares/Sony_Ericsson_Xperia_arc.jpg
BlackBerry	8900	60	109	110	yes	yes	no	no	1799	yes	3.2	media/pictures/_celulares/BlackBerry_8900.jpg
Samsung 	I710	46	99	103	no	no	no	no	1514	no	2	media/pictures/_celulares/Samsung_I710.jpg
